pc_sector,treatment_function,total_new_adms,total_followup_adms
TR10 9,106_upper_gastrointestinal_surgery,16,20
TR15 1,106_upper_gastrointestinal_surgery,14,25
TR7 3,104_colorectal_surgery,3,4
TR9 6,104_colorectal_surgery,1,30
TR11 5,106_upper_gastrointestinal_surgery,25,1
TR13 0,106_upper_gastrointestinal_surgery,30,8
TR15 3,106_upper_gastrointestinal_surgery,0,10
TR8 5,106_upper_gastrointestinal_surgery,20,6
PL15 8,106_upper_gastrointestinal_surgery,17,5
PL27 7,106_upper_gastrointestinal_surgery,5,25
TR26 2,106_upper_gastrointestinal_surgery,22,10
TR27 6,106_upper_gastrointestinal_surgery,14,26
TR8 4,107_vascular_surgery,28,13
PL11 2,109_bariatric_surgery_service,14,15
TR20 9,106_upper_gastrointestinal_surgery,25,11
TR26 3,106_upper_gastrointestinal_surgery,9,17
PL18 9,107_vascular_surgery,18,4
TR10 8,107_vascular_surgery,22,4
PL12 6,109_bariatric_surgery_service,21,7
PL14 5,109_bariatric_surgery_service,13,21
PL15 7,107_vascular_surgery,7,6
PL15 8,107_vascular_surgery,7,19
TR10 9,107_vascular_surgery,21,9
TR15 1,107_vascular_surgery,0,29
PL33 9,106_upper_gastrointestinal_surgery,27,8
TR1 1,106_upper_gastrointestinal_surgery,25,6
PL15 9,107_vascular_surgery,30,28
PL17 7,107_vascular_surgery,30,23
TR15 3,107_vascular_surgery,16,17
TR26 1,107_vascular_surgery,22,30
TR13 9,106_upper_gastrointestinal_surgery,25,25
TR18 5,106_upper_gastrointestinal_surgery,16,21
PL27 7,107_vascular_surgery,25,21
TR1 1,107_vascular_surgery,1,2
TR27 4,107_vascular_surgery,19,11
TR8 5,107_vascular_surgery,7,21
TR2 5,106_upper_gastrointestinal_surgery,27,4
TR7 1,106_upper_gastrointestinal_surgery,12,27
PL26 7,109_bariatric_surgery_service,22,9
TR15 3,109_bariatric_surgery_service,26,9
TR27 5,106_upper_gastrointestinal_surgery,9,16
TR5 0,106_upper_gastrointestinal_surgery,8,6
TR13 8,107_vascular_surgery,30,6
TR14 8,107_vascular_surgery,29,9
PL24 2,109_bariatric_surgery_service,12,12
TR12 7,109_bariatric_surgery_service,11,20
PL13 2,107_vascular_surgery,24,10
PL30 3,107_vascular_surgery,22,12
TR26 1,109_bariatric_surgery_service,2,23
TR7 3,109_bariatric_surgery_service,22,21
TR6 0,106_upper_gastrointestinal_surgery,6,6
TR7 3,106_upper_gastrointestinal_surgery,21,9
PL31 1,107_vascular_surgery,30,1
TR11 2,107_vascular_surgery,4,13
TR9 6,109_bariatric_surgery_service,6,26
PL13 2,110_trauma_and_orthopaedic_service,15,29
TR9 6,106_upper_gastrointestinal_surgery,5,17
EX23 8,107_vascular_surgery,28,3
TR14 7,107_vascular_surgery,26,24
TR19 6,107_vascular_surgery,5,13
TR19 7,109_bariatric_surgery_service,19,13
TR8 4,109_bariatric_surgery_service,26,15
TR3 6,107_vascular_surgery,20,25
PL15 9,109_bariatric_surgery_service,19,17
PL25 4,110_trauma_and_orthopaedic_service,25,1
PL29 3,110_trauma_and_orthopaedic_service,11,12
PL17 7,109_bariatric_surgery_service,11,14
PL25 4,109_bariatric_surgery_service,6,27
PL23 1,110_trauma_and_orthopaedic_service,9,2
PL25 3,110_trauma_and_orthopaedic_service,25,26
TR14 9,107_vascular_surgery,30,27
TR15 2,107_vascular_surgery,13,13
PL30 3,110_trauma_and_orthopaedic_service,14,28
PL31 1,110_trauma_and_orthopaedic_service,29,3
EX23 9,107_vascular_surgery,4,0
PL11 2,107_vascular_surgery,17,10
PL27 6,110_trauma_and_orthopaedic_service,19,22
TR15 1,110_trauma_and_orthopaedic_service,1,21
TR2 5,107_vascular_surgery,11,13
PL13 1,109_bariatric_surgery_service,23,20
TR1 3,110_trauma_and_orthopaedic_service,10,25
TR12 7,110_trauma_and_orthopaedic_service,4,30
PL17 8,107_vascular_surgery,16,7
PL22 0,107_vascular_surgery,11,1
PL28 8,109_bariatric_surgery_service,20,7
PL30 5,109_bariatric_surgery_service,27,22
TR15 3,110_trauma_and_orthopaedic_service,11,3
TR2 4,110_trauma_and_orthopaedic_service,17,16
PL25 5,107_vascular_surgery,4,0
PL30 4,107_vascular_surgery,13,20
PL24 2,107_vascular_surgery,2,15
PL26 6,107_vascular_surgery,12,15
TR1 3,109_bariatric_surgery_service,1,6
TR13 0,109_bariatric_surgery_service,2,30
PL28 8,107_vascular_surgery,29,27
PL30 5,107_vascular_surgery,17,6
TR14 7,110_trauma_and_orthopaedic_service,11,23
TR16 5,110_trauma_and_orthopaedic_service,29,1
PL33 9,107_vascular_surgery,22,21
TR11 3,107_vascular_surgery,28,11
TR27 4,110_trauma_and_orthopaedic_service,12,11
TR4 9,110_trauma_and_orthopaedic_service,21,25
PL32 9,107_vascular_surgery,8,13
PL35 0,107_vascular_surgery,28,1
TR16 5,109_bariatric_surgery_service,12,9
TR27 6,109_bariatric_surgery_service,24,0
TR12 6,107_vascular_surgery,1,0
TR13 9,107_vascular_surgery,18,15
TR19 6,110_trauma_and_orthopaedic_service,23,25
TR22 0,110_trauma_and_orthopaedic_service,20,20
TR1 3,107_vascular_surgery,13,24
TR11 4,107_vascular_surgery,22,18
TR8 5,110_trauma_and_orthopaedic_service,11,16
PL13 1,120_ent,12,21
TR6 0,109_bariatric_surgery_service,19,19
EX23 8,110_trauma_and_orthopaedic_service,0,22
TR14 0,107_vascular_surgery,25,21
TR16 4,107_vascular_surgery,27,30
TR3 6,110_trauma_and_orthopaedic_service,26,12
EX22 6,120_ent,26,29
TR13 0,107_vascular_surgery,28,19
TR2 4,107_vascular_surgery,0,6
TR18 5,107_vascular_surgery,0,2
TR4 8,107_vascular_surgery,17,10
PL12 4,000_dummy_treatment_function,17,24
PL15 8,000_dummy_treatment_function,21,5
EX23 9,110_trauma_and_orthopaedic_service,5,25
PL15 7,110_trauma_and_orthopaedic_service,11,3
TR20 9,107_vascular_surgery,4,21
TR26 3,107_vascular_surgery,26,27
PL13 2,120_ent,17,15
PL26 7,120_ent,30,9
PL30 5,120_ent,24,11
PL25 3,000_dummy_treatment_function,20,26
PL27 6,000_dummy_treatment_function,27,14
TR7 1,107_vascular_surgery,21,25
PL14 3,109_bariatric_surgery_service,25,7
EX23 0,120_ent,11,17
PL10 1,120_ent,7,15
PL12 4,120_ent,29,25
TR27 6,107_vascular_surgery,21,24
TR5 0,107_vascular_surgery,2,21
TR11 2,109_bariatric_surgery_service,25,4
TR12 6,109_bariatric_surgery_service,25,14
TR11 4,000_dummy_treatment_function,13,0
TR13 0,000_dummy_treatment_function,24,29
PL14 4,109_bariatric_surgery_service,9,19
PL14 6,109_bariatric_surgery_service,9,12
PL12 5,120_ent,12,10
PL15 8,120_ent,29,25
PL25 4,120_ent,20,13
TR6 0,107_vascular_surgery,14,0
TR7 3,107_vascular_surgery,4,19
PL15 8,110_trauma_and_orthopaedic_service,9,27
PL25 5,110_trauma_and_orthopaedic_service,4,25
TR10 8,007_non_consultant,5,24
TR10 9,007_non_consultant,3,19
TR14 0,109_bariatric_surgery_service,3,14
TR14 7,109_bariatric_surgery_service,20,30
PL34 0,120_ent,13,10
TR1 3,120_ent,29,7
TR10 8,120_ent,23,20
PL25 3,109_bariatric_surgery_service,12,19
PL26 6,109_bariatric_surgery_service,29,13
TR21 0,109_bariatric_surgery_service,23,11
TR3 6,109_bariatric_surgery_service,13,9
TR10 9,120_ent,4,21
TR13 8,120_ent,5,15
TR14 8,120_ent,26,9
PL27 6,109_bariatric_surgery_service,2,11
PL31 2,109_bariatric_surgery_service,10,25
TR11 4,109_bariatric_surgery_service,13,11
TR18 2,109_bariatric_surgery_service,28,13
PL30 4,120_ent,5,30
PL31 1,120_ent,10,5
TR11 5,120_ent,1,28
TR11 3,110_trauma_and_orthopaedic_service,13,19
TR12 6,110_trauma_and_orthopaedic_service,13,3
TR4 8,109_bariatric_surgery_service,13,4
EX22 7,110_trauma_and_orthopaedic_service,22,17
TR9 6,107_vascular_surgery,27,7
PL25 5,109_bariatric_surgery_service,24,17
TR16 5,120_ent,28,14
TR18 2,120_ent,7,20
TR18 4,120_ent,0,7
PL10 1,110_trauma_and_orthopaedic_service,6,30
PL11 3,110_trauma_and_orthopaedic_service,17,22
TR13 9,110_trauma_and_orthopaedic_service,18,26
TR14 0,110_trauma_and_orthopaedic_service,8,18
TR14 9,120_ent,28,3
TR15 2,120_ent,26,4
TR2 5,120_ent,10,9
TR18 4,109_bariatric_surgery_service,3,21
TR2 4,109_bariatric_surgery_service,11,5
PL26 8,109_bariatric_surgery_service,14,1
TR1 1,109_bariatric_surgery_service,27,20
TR20 8,109_bariatric_surgery_service,28,22
TR20 9,109_bariatric_surgery_service,7,11
PL12 4,110_trauma_and_orthopaedic_service,0,17
PL18 9,110_trauma_and_orthopaedic_service,28,10
TR10 8,109_bariatric_surgery_service,23,19
TR13 9,109_bariatric_surgery_service,9,21
TR23 0,120_ent,13,30
TR26 1,120_ent,24,7
TR6 0,120_ent,19,12
TR16 4,110_trauma_and_orthopaedic_service,2,29
TR18 5,110_trauma_and_orthopaedic_service,22,21
TR27 5,109_bariatric_surgery_service,15,16
PL11 2,110_trauma_and_orthopaedic_service,29,10
TR15 1,109_bariatric_surgery_service,4,9
TR18 5,109_bariatric_surgery_service,14,27
PL26 7,110_trauma_and_orthopaedic_service,3,28
TR1 1,110_trauma_and_orthopaedic_service,23,8
PL14 3,130_ophthalmology,19,15
PL14 4,130_ophthalmology,15,9
TR27 4,109_bariatric_surgery_service,18,26
TR7 1,109_bariatric_surgery_service,13,1
TR24 0,110_trauma_and_orthopaedic_service,12,26
TR4 8,110_trauma_and_orthopaedic_service,15,30
PL12 5,110_trauma_and_orthopaedic_service,6,10
PL14 5,110_trauma_and_orthopaedic_service,2,1
EX22 6,110_trauma_and_orthopaedic_service,12,18
EX23 0,110_trauma_and_orthopaedic_service,14,21
TR10 8,110_trauma_and_orthopaedic_service,2,7
TR10 9,110_trauma_and_orthopaedic_service,13,14
PL14 6,130_ophthalmology,30,8
PL26 8,130_ophthalmology,7,1
TR7 1,110_trauma_and_orthopaedic_service,24,29
PL26 8,120_ent,15,0
TR11 9,110_trauma_and_orthopaedic_service,0,24
TR15 2,110_trauma_and_orthopaedic_service,10,12
PL27 7,110_trauma_and_orthopaedic_service,10,13
PL30 4,110_trauma_and_orthopaedic_service,25,28
PL13 1,110_trauma_and_orthopaedic_service,10,29
PL31 2,110_trauma_and_orthopaedic_service,5,21
PL27 7,130_ophthalmology,18,27
PL29 3,130_ophthalmology,27,18
