treatment_function,scenario_title,pc_followup_adms_virtual,pc_new_adms_virtual
100_general_surgery,25%,0.742216983251702,0.735836835721281
101_urology,25%,0.972987898282764,0.94846437348652
103_breast_surgery,25%,0.662144852525354,0.361896163728919
104_colorectal_surgery,25%,0.465740880379179,0.468675590070169
106_upper_gastrointestinal_surgery,25%,0.783569542808648,0.543402056045357
107_vascular_surgery,25%,0.439877830046252,0.296736963524453
110_trauma_and_orthopaedics,25%,0.600406100980238,0.618916958077807
120_ent,25%,0.381160666751145,0.378927914233653
130_ophthalmology,25%,0.590933106799663,0.715573934799954
140_oral_surgery,25%,0.752555047970978,0.551571665331935
143_orthodontics,25%,0.757126050579787,0.898636712659336
171_paediatric_surgery,25%,0.55954525985337,0.906045839530235
180_accident_and_emergency,25%,0.960421443258066,0.815558026477444
190_anaesthetics,25%,0.680773502559807,0.66018438581024
191_pain_management,25%,0.660828679884154,0.805094506376897
192_critical_care_medicine,25%,0.698436661605584,0.895103135737391
211_paediatric_urology,25%,0.580872899296824,0.711630478249035
251_paediatric_gastroenterology,25%,0.739645566666532,0.340857000113357
252_paediatric_endocrinology,25%,0.924093962043262,0.843118048656288
253_paediatric_clinical_haematology,25%,0.983761228684751,0.456853901177999
254_paediatric_audiological_medicine,25%,0.314242727803253,0.252687813522735
255_paediatric_clinical_immunology_and_allergy,25%,0.392960988546974,0.618425607163746
258_paediatric_respiratory_medicine,25%,0.328309082861537,0.893013729025598
259_paediatric_nephrology,25%,0.349130859909016,0.910918002710499
260_paediatric_medical_oncology,25%,0.732024972598571,0.323212893812115
261_paediatric_metabolic_disease,25%,0.702453778913181,0.256833043012853
262_paediatric_rheumatology,25%,0.527555195971484,0.341641399631645
263_paediatric_diabetic_medicine,25%,0.329605623685113,0.806300082631879
290_community_paediatrics,25%,0.521596391956865,0.509385624604988
291_paediatrics_neurodisability,25%,0.553477690395554,0.994946661330699
300_general_medicine,25%,0.813678355909331,0.291721191488363
301_gastroenterology,25%,0.686542712003218,0.487084226943535
302_endocrinology,25%,0.38077208612707,0.274620732320345
303_haematology_clinical,25%,0.890978802156448,0.486315746393713
306_hepatology,25%,0.635001115332752,0.534810799995393
307_diabetic_medicine,25%,0.395886085663588,0.387482570729632
314_rehabilitation,25%,0.552567523915557,0.354698507896207
316_clinical_immunology,25%,0.701150628344112,0.831424558213604
320_cardiology,25%,0.666146319352463,0.78528867066579
321_paediatric_cardiology,25%,0.723765011642316,0.756447899669221
324_anticoagulant_service,25%,0.656872628847228,0.904803644371049
330_dermatology,25%,0.623982686604826,0.858274581196773
340_respiratory_medicine,25%,0.619544776889664,0.485211144417274
341_respiratory_physiology,25%,0.31734622206552,0.934188280245625
361_nephrology,25%,0.936037840106725,0.863876056533053
400_neurology,25%,0.556631296296334,0.272940608514685
401_clinical_neurophysiology,25%,0.758346109692289,0.944591165938974
410_rheumatology,25%,0.538376143823247,0.363997837175732
420_paediatrics,25%,0.938424114511648,0.259346865825306
421_paediatric_neurology,25%,0.566979194916317,0.818070281356721
422_neonatology,25%,0.704666246320479,0.436427199071825
430_geriatric_medicine,25%,0.448448451540798,0.942648060525405
501_obst_pats_in_hosp_bed/deliv_fa,25%,0.462066814077074,0.32800502884084
502_gynaecology,25%,0.656959917451408,0.603193327794923
503_gynaecology_oncology,25%,0.349775572918247,0.490915563248289
560_midwife_episode,25%,0.570987693834177,0.838583776787121
650_physiotherapy,25%,0.423904831924824,0.820522985400903
651_occupational_therapy,25%,0.709402082300229,0.394353955654167
652_speech_and_language_therapy,25%,0.724775375963212,0.648756349297667
654_dietetics,25%,0.345977821541478,0.55789678235464
655_orthoptics,25%,0.866595292160506,0.274547588035651
656_clinical_psychology,25%,0.768633257161991,0.76598157381084
800_clinical_oncology,25%,0.650992696430893,0.8067833455893
812_diagnostic_imaging,25%,0.566432371318881,0.455527522597616
822_chemical_pathology,25%,0.928012363837246,0.792126440532989
840_audiology,25%,0.275155018649279,0.453046422415546
348_post-covid-19_syndrome_service,25%,0.529677751726627,0.285138128584952
100_general_surgery,75%,0.914072327750568,0.911945611907094
101_urology,75%,0.990995966094255,0.98282145782884
103_breast_surgery,75%,0.887381617508451,0.787298721242973
104_colorectal_surgery,75%,0.82191362679306,0.822891863356723
106_upper_gastrointestinal_surgery,75%,0.927856514269549,0.847800685348452
107_vascular_surgery,75%,0.813292610015417,0.765578987841484
110_trauma_and_orthopaedics,75%,0.866802033660079,0.872972319359269
120_ent,75%,0.793720222250382,0.792975971411218
130_ophthalmology,75%,0.863644368933221,0.905191311599985
140_oral_surgery,75%,0.917518349323659,0.850523888443978
143_orthodontics,75%,0.919042016859929,0.966212237553112
171_paediatric_surgery,75%,0.853181753284457,0.968681946510078
180_accident_and_emergency,75%,0.986807147752689,0.938519342159148
190_anaesthetics,75%,0.893591167519936,0.886728128603413
191_pain_management,75%,0.886942893294718,0.935031502125633
192_critical_care_medicine,75%,0.899478887201862,0.96503437857913
211_paediatric_urology,75%,0.860290966432275,0.903876826083012
251_paediatric_gastroenterology,75%,0.913215188888844,0.780285666704452
252_paediatric_endocrinology,75%,0.974697987347754,0.947706016218763
253_paediatric_clinical_haematology,75%,0.994587076228251,0.818951300392667
254_paediatric_audiological_medicine,75%,0.771414242601084,0.750895937840912
255_paediatric_clinical_immunology_and_allergy,75%,0.797653662848991,0.872808535721249
258_paediatric_respiratory_medicine,75%,0.776103027620512,0.964337909675199
259_paediatric_nephrology,75%,0.783043619969672,0.9703060009035
260_paediatric_medical_oncology,75%,0.91067499086619,0.774404297937372
261_paediatric_metabolic_disease,75%,0.900817926304394,0.752277681004285
262_paediatric_rheumatology,75%,0.842518398657161,0.780547133210548
263_paediatric_diabetic_medicine,75%,0.776535207895038,0.935433360877293
290_community_paediatrics,75%,0.840532130652288,0.836461874868329
291_paediatrics_neurodisability,75%,0.851159230131851,0.9983155537769
300_general_medicine,75%,0.93789278530311,0.763907063829454
301_gastroenterology,75%,0.895514237334406,0.829028075647845
302_endocrinology,75%,0.79359069537569,0.758206910773448
303_haematology_clinical,75%,0.963659600718816,0.828771915464571
306_hepatology,75%,0.878333705110917,0.844936933331798
307_diabetic_medicine,75%,0.798628695221196,0.795827523576544
314_rehabilitation,75%,0.850855841305186,0.784899502632069
316_clinical_immunology,75%,0.900383542781371,0.943808186071201
320_cardiology,75%,0.888715439784154,0.928429556888596
321_paediatric_cardiology,75%,0.907921670547439,0.918815966556407
324_anticoagulant_service,75%,0.885624209615743,0.968267881457016
330_dermatology,75%,0.874660895534942,0.952758193732258
340_respiratory_medicine,75%,0.873181592296555,0.828403714805758
341_respiratory_physiology,75%,0.772448740688507,0.978062760081875
361_nephrology,75%,0.978679280035575,0.954625352177684
400_neurology,75%,0.852210432098778,0.757646869504895
401_clinical_neurophysiology,75%,0.919448703230763,0.981530388646325
410_rheumatology,75%,0.846125381274416,0.787999279058577
420_paediatrics,75%,0.979474704837216,0.753115621941769
421_paediatric_neurology,75%,0.855659731638772,0.93935676045224
422_neonatology,75%,0.90155541544016,0.812142399690609
430_geriatric_medicine,75%,0.816149483846933,0.980882686841802
501_obst_pats_in_hosp_bed/deliv_fa,75%,0.820688938025691,0.77600167628028
502_gynaecology,75%,0.885653305817136,0.867731109264974
503_gynaecology_oncology,75%,0.783258524306082,0.83030518774943
560_midwife_episode,75%,0.856995897944726,0.946194592262374
650_physiotherapy,75%,0.807968277308275,0.940174328466968
651_occupational_therapy,75%,0.90313402743341,0.798117985218056
652_speech_and_language_therapy,75%,0.908258458654404,0.882918783099222
654_dietetics,75%,0.781992607180493,0.85263226078488
655_orthoptics,75%,0.955531764053502,0.758182529345217
656_clinical_psychology,75%,0.92287775238733,0.921993857936947
800_clinical_oncology,75%,0.883664232143631,0.935594448529767
812_diagnostic_imaging,75%,0.855477457106294,0.818509174199205
822_chemical_pathology,75%,0.976004121279082,0.930708813510996
840_audiology,75%,0.758385006216426,0.817682140805182
348_post-covid-19_syndrome_service,75%,0.843225917242209,0.761712709528317
